Value;English;German
4294967295;empty;leer
8323100;Simarrionne;Silmaron
8323101;Blood Chalice;Blutkelch
8323102;Rubber Soul;Leuchtende Seele
8323103;Dead Heart;Totes Herz
8323104;Liafort;Liafort
8323105;Flâchonelle;Flachonelle
8323106;Wonder Bangle;Wunderreif
8323107;Heartache;Herzschmerz
8323115;Imperator's Pendant;Anhänger des Imperators
8323116;Imperator's Bangle;Reif des Imperators
8323117;Imperator's Ring;Ring des Imperators
8323123;Manrynell;Manrynell
8323124;Ring of Morning Calm;Ring der Morgenruhe
8323125;Vermillion Cameo;Vermilion Cameo
8324219;Necklace;Halskette
8324220;Superior Necklace;Edle Halskette
8324221;Superlative Necklace;Perfekte Halskette
8324222;Draconile Necklace;Halskette des Drachen
8324223;Prismic Necklace;Halskette des Lichts
8324224;Damascene Necklace;Halskette der Härte
8324225;Azurangel Locket;Azurengel-Halskette
8324226;Ondine's Mercy;Undines Gnade
8324227;Mermaid's Favor;Gunst der Meerjungfrau
8324228;Knocker's Ward;Schutz des Schlägers
8324229;Melphinette;Melphinette
8324230;Idol Necklace;Götzenkette
8324231;Ophidian Choker;Schlangen-Halsband
8324232;Fang Chain;Reißzahnkette
8324233;Horn Chain;Hornkette
8324234;Bone Necklace;Knochen-Halskette
8324235;Talon Chain;Krallenkette
8324236;Chain of Goading;Kette des Ansporns
8324237;Chain of Gobbling;Kette des Galgens
8324238;Chain of Gliding;Kette des Gleitens
8324239;Floral Wreath;Blütengebinde
8324240;Fiend Chain;Monsterkette
8324241;Wyvern Chain;Lindwurm-Kette
8324242;Wyrm Pendant;Wurm-Anhänger
8324243;Doom Chain;Kette des Unheils
8324244;Carnage Chain;Kette des Blutbads
8324245;Resurrection Chain;Kette der Auferstehung
8324246;Ring;Ring
8324247;Superior Ring;Edler Ring
8324248;Superlative Ring;Perfekter Ring
8324249;Draconile Ring;Ring des Drachen
8324250;Prismic Ring;Ring des Lichts
8324251;Damascene Ring;Ring der Härte
8324252;Ruby Ring;Rubinring
8324253;Emerald Ring;Smaragdring
8324254;Sapphire Ring;Saphirring
8324255;Ivory Ring;Elfenbeinring
8324256;Alp's Repose;Alpruhe
8324257;Cúchulainn's Lament;Cuchulainns Trauer
8324258;Merman's Calm;Neptuns Ruhe
8324259;Eylsiette;Elysiette
8324260;Idol Signet;Götzen-Siegel
8324261;Hannah's Band;Hannahs Band
8324262;Ring of Girding;Ring der bereitschaft
8324263;Ring of Grinding;Ring des Mahlens
8324264;Ring of Goring;Ring des Blutes
8324265;Ring of Growling;Ring des Grollens
8324266;Ring of Gobbling;Ring des Schlingens
8324267;Zalewood Band;Zalebaum-Band
8324268;Floral Ring;Blütenring
8324269;Rune Ring;Runenring
8324270;Coral Band;Korallenband
8324271;Fearie Band;Feenband
8324272;Longeval Cord;Langlebige Schnur
8324273;Betrothal Band;Verlobungsband
8324274;Scholarly Band;Weises Band
8324275;Saintly Band;Heiliges Band
8324276;Bracelet;Armreif
8324277;Deluxe Bracelet;Luxus-Armreif
8324278;Premier Bracelet;Edler Armreif
8324279;Draconile Bracelet;Armreif des Drachen
8324280;Prismic Bracelet;Armreif des Lichts
8324281;Damascene Bracelet;Armreif der Härte
8324282;Roseraphim Bracelet;Seraphim-Armreif
8324283;Sylph's Bane;Ruin des Luftgeists
8324284;Pixie's Scorn;Verachtung der Fee
8324285;Troll's Trust;Trolls Treue
8324286;Nagapurette;Nagapurette
8324287;Undelwaltette;Undelwaltette
8324288;Idol Bracelet;Götzen-Armband
8324289;Young's Armlet;Youngs Armband
8324290;Bracelet of Guarding;Armband des Schutzes
8324291;Metallic Manacle;Metallische Schelle
8324292;Bracelet of Grafting;Armband der Bestechung
8324293;Bracelet of Garnishing;Armband der Verzierung
8324294;Bracelet of Glazing;Armband der Vereisung
8324295;Bracelet of Grooming;Armband der Pflege
8324296;Rubber Cuff;Gummistulpen
8324297;Obsidian Wristlet;Obsidian-Armreif
8324298;Televa Wristlet;Televa-Armband
8324299;Coral Wristlet;Korallen-Armband
8324300;Manifer;Manifer
8324301;Soul Wristlet;Armband der Seele
8324302;Goddess Wristlet;Armband der Göttin
8324303;Fortune Wristlet;Armband des Glücks
8324304;Mercy Wristlet;Armband der Gnade
8324305;Justice Wristlet;Armband der Gerechtigkeit
8324306;Earring;Ohrring
8324307;Deluxe Earring;Luxus-Ohrring
8324308;Premier Earring;Edler Ohrring
8324309;Draconile Earring;Ohrring des Drachen
8324310;Prismic Earring;Ohrring des Lichts
8324311;Damascene Earring;Ohrring der Härte
8324312;Ruby Solitaire;Rubinschmuck
8324313;Emerald Solitaire;Smaragdschmuck
8324314;Sapphire Solitaire;Saphirschmuck
8324315;Ivory Solitaire;Elfenbeinschmuck
8324316;Stormcloud Bolt;Sturmwolken-Blitz
8324317;Spriggan's Bounty;Dryadenkopfgeld
8324318;Brownie's Glee;Däumlingsfreude
8324319;Leprechaun's Luck;Gnomenglück
8324320;Athlumette;Athlumette
8324321;Idol Earring;Götzen-Ohrring
8324322;Hinnah's Earring;Hinnahs Ohrring
8324323;Earring of Girding;Ohrring der Bereitschaft
8324324;Earring of Growling;Ohrring des Grollen
8324325;Earring of Grinding;Ohrring des Mahlens
8324326;Earring of Gliding;Ohrring des Gleitens
8324327;Earring of Goring;Ohrring des Blutes
8324328;Earring of Gobbling;Ohrring des Gelages
8324329;Metallic Stud;Metallischer Ohrstecker
8324330;Safety Earlet;Sicherheits-Ohrring
8324331;Soul Earring;Seelen-Ohrring
8324332;Bugeye Earring;Facetten-Ohrring
8324333;Sable Earring;Düster-Ohrring
8324334;Valiant Eardrop;Tapferkeits-Ohrring
8324335;Ring of the Defiant Ear;Ring des Trotzigen Ohrs
8324336;Ring of the Patient Ear;Ring des Geduldigen Ohrs
8324337;Ring of the Astute Ear;Ring des Listigen Ohrs
8324338;Belt;Gürtel
8324339;Deluxe Belt;Luxus-Gürtel
8324340;Premier Belt;Edler Gürtel
8324341;Verdeus Buckle;Verdeus-Schnalle
8324342;Goblin's Honor;Klabauterehre
8324343;Boggart's Charity;Gnade des Poltergeists
8324344;Kobold's Kindness;Güte des Kobolds
8324345;Ghorette;Ghorette
8324346;Idol Belt;Götzen-Gürtel
8324347;Snievan's Belt;Snievans Gürtel
8324348;Belt of Guarding;Gürtel der Verteidigung
8324349;Belt of Garnishing;Gürtel der Verzierung
8324350;Belt of Grooming;Gürtel der Pflege
8324351;Cotton Belt;Baumwollgürtel
8324352;Alpaca Belt;Alpakagürtel
8324353;Belt of Guessing;Gürtel der Vermutung
8324354;Belt of Glazing;Gürtel der Vereisung
8324355;Angora Belt;Angoragürtel
8324356;Linen Belt;Stoffgürtel
8324357;Rubber Belt;Gummigürtel
8324358;Power Belt;Kraftgürtel
8324359;Black Belt;Schwarzer Gürtel
8324360;Liberty Belt;Freiheitsgürtel
8324361;Triumph Belt;Truimphgürtel
8324362;Cloistral Belt;Klostergürtel
8324363;Greaves;Beinschienen
8324364;Deluxe Greaves;Luxus-Beinschienen
8324365;Premier Greaves;Edle Beinschienen
8324366;Draconile Greaves;Fußkette des Drachen
8324367;Prismic Anklet;Fußkette des Lichts
8324368;Damascene Anklet;Fußkette der Härte
8324369;Blancherub Greaves;Beinschienen der Engel
8324370;Oberon's Providence;Vorsehung des Oberon
8324371;Siren's Silence;Stille der Sirenen
8324372;Kelpie's Blessing;Kelpies Segen
8324373;Baalukette;Baalukette
8324374;Balterossette;Balterossette
8324375;Idol Greaves;Götzen-Beinschienen
8324376;Greaves of Garnishing;Beinschienen der Verzierung
8324377;Greaves of Guarding;Beinschienen des Schutzes
8324378;Greaves of Growling;Beinschienen des Grollens
8324379;Greaves of Grinding;Beinschienen des Mahlens
8324380;Greaves of Goring;Beinschienen des Blutes
8324381;Tashlon Ankleshells;Tashlon-Knöchelschutz
8324382;Surgill Spats;Surgill-Gamasche
8324383;Legwarmers;Beinwärmer
8324384;Drakescale Anklets;Drachenschuppen-Fußketten
8324385;Heels of Victory;Sporen des Sieges
8324386;Agony Greaves;Beinschienen des Schmerzes
8324387;Bedazzling Anklets;Fußketten der Blendung
8324388;Amulet;Amulett
8324389;Deluxe Amulet;Luxus-Amulett
8324390;Premier Amulet;Edles Amulett
8324391;Draconile Amulet;Amulett des Drachen
8324392;Prismic Amulet;Amulett des Lichts
8324393;Damascene Amulet;Amulett der Härte
8324394;Celapalette;Celapalette
8324395;Royotiette;Royotiette
8324396;Idol Amulet;Götzenamulett
8324397;Charm of Growling;Amulett des Grollens
8324398;Charm of Goring;Amulett des Blutes
8324399;Charm of Gliding;Amulett des Gleitens
8324400;Charm of Grinding;Amulett des Mahlens
8324401;Metallic Token;Metallisches Symbol
8324402;Charm of Grating;Amulett des Knirschens
8324403;Charm of Guiding;Amulett der Führung
8324404;Wayfarer's Ward;Schutz des Wandermanns
8324405;Beastbone Carving;Bestienknochen-Schnitzerei
8324406;Marked Mirrorglass;Gesprungenes Spiegelglas
8324407;Wyrmcharm;Lindwurm-Amulett
8324408;Kismet's Kiss;Kuss des Kismet
8324409;Wishing Coin;Wunschmünze
