Value;English;Att;M-Att;Def;M-Def;Eva;M-Eva
4294967295;empty;0;0;0;0;0;0
8323073;Emma's Longsword;34;21;16;10;5;0
8323074;Emma's Tuck;27;29;11;11;5;0
8323075;Torgal's Leraje;31;32;10;8;8;0
8323076;Schiavona;110;72;33;21;9;0
8323077;Frostblade;98;101;28;30;9;0
8323078;Obsidian;106;106;25;24;7;0
8323079;Nightbloom;122;120;10;9;10;0
8323080;Bilqis;139;93;30;18;5;0
8323081;Daedalus;142;96;47;31;7;0
8323082;Malystrix;102;156;25;36;8;0
8323083;Ama-Gi;95;146;32;48;5;0
8323084;Schiavona Artis;158;132;47;41;11;0
8323085;Schiavona Virtutis;184;185;57;54;18;0
8323086;Frostblade Artis;145;146;44;43;11;0
8323087;Frostblade Virtutis;183;185;56;54;18;0
8323088;Obsidian Artis;153;156;38;37;9;0
8323089;Obsidian Virtutis;195;196;47;47;14;0
8323090;Nightbloom Artis;177;175;16;12;13;0
8323091;Nightbloom Virtutis;223;222;17;18;20;0
8323092;Bilqis Artis;172;141;36;33;6;0
8323093;Bilqis Virtutis;206;186;43;42;10;0
8323094;Daedalus Artis;158;127;51;43;9;0
8323095;Daedalus Virtutis;187;171;63;57;14;0
8323096;Malystrix Artis;138;169;34;36;10;0
8323097;Malystrix Virtutis;194;194;43;44;16;0
8323098;Ama-Gi Artis;129;159;41;51;6;0
8323099;Ama-Gi Virtutis;170;189;59;62;10;0
8323108;Imperator's Sword;133;133;44;44;15;0
8323109;Imperator's Katana;147;144;27;28;4;0
8323110;Imperator's Axe;149;100;58;40;5;0
8323111;Imperator's Hammer;122;153;34;40;4;0
8323112;Imperator's Lance;136;112;56;46;10;0
8323113;Imperator's Staff;107;156;35;51;11;0
8323114;Imperator's Shield;0;0;0;0;15;30
8323118;Vespe;70;50;12;35;9;0
8323119;Serpent Star;140;93;21;11;2;0
8323120;Olibanum;77;65;33;10;14;0
8323121;Finsternis;101;100;38;39;19;0
8323122;Takshend;0;0;0;0;15;15
8323126;Khukuri ;18;16;6;8;4;0
8323127;Combat Khukuri;25;27;11;12;6;0
8323128;Warrior's Khukuri;34;35;14;14;8;0
8323129;Commander's Khukuri;45;41;15;16;10;0
8323130;Elite's Khukuri;51;55;20;18;12;0
8323131;Champion's Khukuri;62;62;21;25;14;0
8323132;Warlord's Khukuri;74;71;27;30;16;0
8323133;Divine Khukuri;83;82;31;29;19;0
8323134;Draconile Khukuri;88;82;34;29;17;0
8323135;Prismic Khukuri;83;92;31;34;19;0
8323136;Damascene Khukuri;102;98;39;39;20;0
