Offset;English;German;Type
20484;Cureleaf;Heilblatt;Herb
20496;Cureroot;Heilwurzel;Herb
20508;Curebulb;Heilzwiebel;Herb
20520;Restoleaf;Ruheblatt;Herb
20532;Restobulb;Ruhezwiebel;Herb
20544;Frostleaf;Frostblatt;Herb
20556;Relaxing Herb;Beruhigendes Kraut;Herb
20568;Refreshing Herb;Erfrischendes Kraut;Herb
20580;Faerie Herb;Feenkraut;Herb
20592;Steel Herb;Stahlkraut;Herb
20604;Fresh Oil;Frischöl;Potion
20616;Ether Oil;Ätheröl;Potion
20628;Flame Oil;Flammenöl;Potion
20640;Aerial Insecta Ale;Luftinsektenbier;Potion
20652;Mystic Fiend Ale;Mystikbier;Potion
20664;Beastman Ale;Bestienmannbier;Potion
20676;Land Dragon Ale;Landdrachenbier;Potion
20688;Sky Dragon Ale;Himmelsdrachenbier;Potion
20700;War Dragon Ale;Kriegsdrachenbier;Potion
20712;Mineral Water;Mineralwasser;Lotion
20724;Water of Eos;Wasser des Eos;Lotion
20736;Renewing Tonic;Tonikum der Erfrischung;Lotion
20748;Abyssal Tonic;Tonikum des Abgrunds;Lotion
20760;Vitaeroot;Lebenswurzel;Lotion
20772;Mite Mushroom;Winziger Pilz;Lotion
20784;Bell Seedlin;Glockensamen;Lotion
20796;Young Bud;Junge Knospe;Lotion
20808;Vigorbean;Kraftbohne;Lotion
20820;Schockberry;Schockbeere;Lotion
20832;Methone Explosive;Methone-Sprengstoff;Explosive
20844;Siarnaq Explosive;Siarnaq-Sprengstoff;Explosive
20856;Tethys Explosive;Tethys-Sprengstoff;Explosive
20868;Leros Explosive;Leros-Sprengstoff;Explosive
20880;Titan Explosive;Titan-Sprengstoff;Explosive
20892;Glowroot;Glühwurzel;Explosive
20904;Venomweed;Giftkraut;Explosive
20916;Smokeshrub;Räucherfarn;Explosive
20928;Dreamvine;Traumrebe;Explosive
20940;Acidsprout;Säuresprosse;Explosive
20952;Oort's cursed Charm;Oorts verfluchtes Amulett;Explosive
20964;Shard of Ages;Scherbe der Altertums;Shard
20976;Shard of Antiquity;Scherbe der Antike;Shard
20988;Shard of Arcanum;Scherbe des Arkanen;Shard
21000;Shard of Chaos;Scherbe des Chaos;Shard
21012;Sand of Lithos;Sand aus Lithos;Shard
21024;Dirt of Athenos;Schmutz aus Athenos;Shard
21036;Loam of Wadsley;Lehm aus Wadsley;Shard
21048;Mud of Ringwood;Schlamm aus Rundholz;Shard
21060;Bole of Pelops;Stamm aus Pelops;Shard
21072;Clay of Marton;Tonerde aus Marton;Shard
21084;Ranger's Tools;Werkzeuge des Waldläufers;Trap
21096;Candle;Kerze;Trap
21108;Ill-Fated Box;Kiste des Unheils;Trap
21120;Necropest;Todespest;Trap
21132;Hellbloom;Höllenblüte;Trap
21144;Paranoiabud;Paranoiaknospe;Trap
21156;Onyxian Gas;Onyxgas;Trap
21168;Spiritrose;Seelenrose;Trap
21180;Divine Elixir;Göttliches Elixier;Other
21192;Royotian Wine;Royotianischer Wein;Other
21204;Captured Jhana Fighter;Gefangener Jhana-Kämpfer;Captured Monster
21216;Captured Jhana Shaman;Gefangener Jhana-Schamane;Captured Monster
21228;Captured Jhana Magus;Gefangener Jhana-Zauberer;Captured Monster
21240;Captured Jhana Archfighter;Gefangene Schimäre;Captured Monster
21252;Captured Jhana Archshaman;Gefangener Jhana-Erzschamane;Captured Monster
21264;Captured Jhana Archmagus;Gefangener Jhana-Erzzauberer;Captured Monster
21276;Captured Tsuchigumo;Gefangener Tsuchigumo;Captured Monster
21288;Captured Yellowcap Vanguard;Gefangene Gelbmützen-Vorhut;Captured Monster
